,city,city_development_Index,gender,relevent_experience,enrolled_university,education_level,major_discipline,experience,company_size,company_type,last_new_job,training_hours,target
0,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,,Other,1,36,1
1,city_40,0.7759999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,15,3.0,Pvt Ltd,>4,47,0
2,city_21,0.624,Other,No relevent experience,Full time course,Graduate,STEM,5,,Other,never,83,0
3,city_162,0.767,Male,Has relevent experience,no_enrollment,Masters,STEM,30,3.0,Funded Startup,4,8,0
4,city_176,0.764,Other,Has relevent experience,Part time course,Graduate,STEM,11,,Other,1,24,1
5,city_160,0.92,Male,Has relevent experience,no_enrollment,UH,,5,3.0,Funded Startup,1,24,0
6,city_46,0.762,Male,Has relevent experience,no_enrollment,Graduate,STEM,13,1.0,Pvt Ltd,>4,18,1
7,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,7,3.0,Pvt Ltd,1,46,1
8,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,17,8.0,Pvt Ltd,>4,123,0
9,city_21,0.624,Other,No relevent experience,Full time course,UH,,2,,Other,never,32,1
10,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,7.0,Pvt Ltd,1,108,0
11,city_61,0.9129999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,6.0,Pvt Ltd,3,23,0
12,city_21,0.624,Other,No relevent experience,Full time course,UH,,5,,Other,never,26,0
13,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,16,2.0,Pvt Ltd,>4,18,0
14,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,1,3.0,Pvt Ltd,never,106,0
15,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,2,7.0,Pvt Ltd,2,7,0
16,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,7,8.0,Pvt Ltd,never,23,1
17,city_13,0.8270000000000001,Female,Has relevent experience,no_enrollment,Graduate,Arts,4,,Other,1,132,1
18,city_159,0.843,Male,Has relevent experience,no_enrollment,Masters,STEM,11,4.0,Pvt Ltd,1,68,0
19,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Masters,STEM,11,4.0,Pvt Ltd,2,50,0
20,city_102,0.804,Other,Has relevent experience,no_enrollment,Masters,STEM,10,,Other,1,48,0
21,city_40,0.7759999999999999,Male,Has relevent experience,no_enrollment,Graduate,Humanities,0,6.0,Pvt Ltd,1,65,0
22,city_21,0.624,Other,Has relevent experience,no_enrollment,Graduate,STEM,5,6.0,Pvt Ltd,1,13,0
23,city_67,0.855,Other,No relevent experience,no_enrollment,UH,,4,,Other,never,22,0
24,city_21,0.624,Other,Has relevent experience,Part time course,Graduate,STEM,14,5.0,Pvt Ltd,1,148,1
25,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,Arts,5,,Other,2,72,0
26,city_100,0.887,Male,Has relevent experience,no_enrollment,UH,,11,1.0,Pvt Ltd,1,8,1
27,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,18,3.0,Funded Startup,2,68,1
28,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,30,4.0,Pvt Ltd,3,40,0
29,city_103,0.92,Male,Has relevent experience,Part time course,Graduate,STEM,19,7.0,Pvt Ltd,>4,141,0
30,city_103,0.92,Female,No relevent experience,Full time course,Graduate,STEM,5,,Other,1,24,0
31,city_160,0.92,Female,Has relevent experience,no_enrollment,Graduate,STEM,30,4.0,Pvt Ltd,>4,82,0
32,city_16,0.91,Male,Has relevent experience,no_enrollment,Graduate,Business Degree,12,7.0,Pvt Ltd,3,145,0
33,city_103,0.92,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,2.0,Early Stage Startup,2,206,0
34,city_114,0.9259999999999999,Male,No relevent experience,Part time course,UH,,1,8.0,Other,1,152,0
35,city_114,0.9259999999999999,Male,Has relevent experience,no_enrollment,Phd,STEM,30,4.0,Pvt Ltd,4,42,1
36,city_103,0.92,Other,No relevent experience,no_enrollment,Graduate,STEM,12,,Other,4,50,0
37,city_71,0.884,Male,No relevent experience,no_enrollment,UH,,3,,Other,never,106,0
38,city_114,0.9259999999999999,Female,Has relevent experience,Full time course,Masters,STEM,16,6.0,Public Sector,2,14,0
39,city_104,0.924,Male,Has relevent experience,no_enrollment,UH,,4,2.0,Pvt Ltd,2,36,0
40,city_21,0.624,Other,Has relevent experience,no_enrollment,Masters,STEM,6,3.0,Early Stage Startup,1,112,1
41,city_21,0.624,Male,Has relevent experience,Part time course,Masters,STEM,9,7.0,Pvt Ltd,3,7,1
42,city_21,0.624,Female,No relevent experience,Full time course,Masters,STEM,5,,Other,never,26,1
43,city_21,0.624,Male,Has relevent experience,no_enrollment,Graduate,STEM,5,4.0,Pvt Ltd,never,87,1
44,city_103,0.92,Other,Has relevent experience,no_enrollment,Graduate,STEM,19,8.0,Public Sector,4,52,1
45,city_83,0.9229999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,11,2.0,Pvt Ltd,1,21,0
46,city_101,0.5579999999999999,Male,No relevent experience,no_enrollment,Graduate,STEM,4,,Other,1,92,1
47,city_64,0.6659999999999999,Male,Has relevent experience,no_enrollment,Graduate,STEM,10,4.0,Pvt Ltd,2,102,0
